But what do you care for? Not music.	కానీ మీరు కోసం ఏమి పట్టించుకోనట్లు లేదు?
At the end of a long Friday after 4 PM, if I remember correctly.	సుదీర్ఘ శుక్రవారం ముగింపులో 4 PM తరువాత, నేనుసరిగ్గాగుర్తుఉంటే
I told him how we used to roll with the ladies in high school.	నేను మేము అధిక పాఠశాల లో మహిళలు తో వెళ్లండి ఉపయోగించారు ఎలా చెప్పాడు.
Did you?	మీకు నచ్చిందా?
She doesn't need your help!	నాకు స్వభావం గురించి మాట్లాడటానికి లేదు.
I'm the motherfuckin' Death Star up in this shit... droppin' fuckin' planets.	నేను ఈ పాట లో 'motherfuckin డెత్ స్టార్ అప్ am... Droppin 'నువ్వు నీ అమూల్యమైన' గ్రహాలు.
Well, you don't look exactly like a basket of fruit yourself.	బాగా, మీరు మీ పండు ఒక బుట్ట వంటి సరిగ్గా చూడండి లేదు.
I'd been in the army less than a year when that unholy Tet arrived.	. ఆ పవిత్రం Tet వచ్చే నేను సైన్యం కన్నా తక్కువ ఒక సంవత్సరం ఉంటుంది.
To scare us.	మాకు బెదరింపు.
I believe in love and marriage and I really hope you find a nice guy.	నేను ప్రేమ మరియు పెళ్లి నమ్మకం మరియు నేను నిజంగా మీరు ఒక nice guy కనుగొనేందుకు ఆశిస్తున్నాము.
Let's make them suspicious.	యొక్క వాటిని అనుమానాస్పద తయారు చేద్దాము
Girl, we know you from Georgia.	గర్ల్, మేము జార్జియా నుండి మీకు తెలిసిన.
What's going on with you and my wife?	మీరు మరియు నా భార్య ఏమి జరుగుతుందో?
No. You know what I'm gonna do for you?	నం మీరు నేను మీరు ఏమి గొన్న వద్ద ఏమి?
That's better than anybody, so far.	ఆ ఇప్పటివరకు ఎవరైనా, కంటే మెరుగైన ఉంది.
And this guy that I don't even know checks us out of the jail... and then says all this weird stuff... and brings us here with these people... like, touching us and talking to us... and I don't know them, and I don't feel comfortable.	నేను కూడా తెలియదు ఈ వ్యక్తి జైలు మాకు బయటకు తనిఖీ... ఆపై అన్ని ఈ అదృష్టము stuff చెప్పారు... మరియుఈ వ్యక్తులతోఇక్కడమాకుతెస్తుంది...
You let two unknown men enter this house uninvited.	MOREL: మీరు రెండు తెలియని పురుషులు ఈ ఇల్లు గుర్తించని ఎంటర్ వీలు.
What it looks like is the spontaneous cellular transferral we've been trying to achieve for months.	ఇది కనిపిస్తుంది ఏమి యాదృచ్ఛిక సెల్యులార్ transferral ఉంది మేము నెలల సాధించడానికి ప్రయత్నిస్తున్నారు చేసిన.
You know what that key is for?	మీరు కీ కోసం అని ఏమి తెలుసు?
I might never see you again.	నేను మీరు మళ్ళీ చూడండి ఎప్పుడూ ఉండవచ్చు
Harley, I'm gonna be as honest as I can be.	హార్లే, నేను చేయడం వంటి నిజాయితీ ఉండాలి గొన్న వద్ద.
As we are experiencing some really nice above seasonal weather.	.. మేము రుతువు సంబంధిత వాతావరణ పైన నిజంగా nice కొన్ని ఎదుర్కొనే నాటికి
But I wish you all the best with your struggle.	కానీ నేను మీ పోరాటం తో అన్ని ఉత్తమ అనుకుంటున్నారా.
And you'll be a goonie too.	మరియుమీరు. ఒక goonieఉంటుందిచాలా
Sorry, Bagheera.	క్షమించాలి, Bagheera.
I'm not like those so-called fair-weather friends of yours.	నేను మీదే ఆ అని పిలవబడే న్యాయమైన వాతావరణ స్నేహితులను ఇష్టం లేదు.
- We're gonna take off, but let's do this again.	- మేము టేకాఫ్, కానీ మళ్ళీ దీన్ని చేసుకుందాం గొన్న ఉంటాయి.
You're a very lucky young man, to be witness to a new scientific frontier.	మీరు చాలా అదృష్ట యువకుడు ఉన్నాయి, ఒక కొత్త శాస్త్రీయ సరిహద్దుకు సాక్షి ఉంటుంది.
They kicked me out of school.	వారు నాకు పాఠశాల నుండి తొలగించినప్పుడు.
They're probably already there.	వారు ఇప్పటికే బహుశా ఉన్నాయి.
- l'm not leaving you behind.	- ఎల్ m వెనుక మీరు వదిలి కాదు.
It all began when the silence of the jungle was broken by an unfamiliar sound.	అడవియొక్కనిశ్శబ్దం అధిగమించేఇదిఅన్నిప్రారంభమైంది ఒకతెలియనిశబ్దం
You're going back to the man-village right now.	మీరు ప్రస్తుతం మానవ గ్రామానికి తిరిగి వెళ్తున్నారు.
This woman has a grip on him.	ఈ మహిళ అతని మీద పట్టు ఉంది.
